"competitor_id","total_medals"
15945,"3"
7064,"3"
19608,"8"
18246,"4"
23735,"3"
13030,"3"
11265,"4"
6723,"3"
27617,"3"
25639,"3"
8943,"5"
23209,"3"
13645,"7"
14115,"5"
7545,"3"
12424,"3"
23966,"3"
2865,"4"
13417,"5"
10763,"3"
16468,"3"
3772,"3"
18127,"4"
1693,"3"
9984,"3"
6395,"3"
15510,"4"
3019,"5"
7739,"3"
11284,"6"
13314,"9"
7122,"4"
8832,"3"
18721,"3"
19377,"5"
15225,"3"
5191,"6"
21546,"3"
25386,"8"
18027,"6"
27909,"3"
29,"5"
27569,"3"
12194,"4"
5509,"3"
1807,"4"
7981,"3"
25421,"8"
22483,"3"
15624,"3"
14866,"3"
8935,"4"
2946,"3"
24755,"3"
28106,"3"
9556,"3"
8836,"3"
804,"4"
13540,"3"
5217,"3"
19186,"3"
24699,"4"
27044,"3"
5484,"3"
15050,"7"
3020,"4"
15351,"6"
12011,"3"
11709,"3"
16432,"5"
25196,"8"
16371,"5"
16062,"3"
5687,"4"
12902,"5"
5649,"4"
11652,"8"
10246,"3"
13623,"5"
28086,"4"
3666,"3"
1808,"3"
14537,"3"
26043,"3"
9366,"3"
7508,"6"
27068,"3"
1015,"8"
14616,"4"
11063,"4"
17800,"8"
4352,"6"
8582,"3"
13028,"7"
28135,"3"
25266,"3"
23722,"4"
19078,"3"
25618,"4"
13424,"3"
25976,"4"
3770,"3"
1501,"3"
10436,"3"
15564,"5"
28890,"3"
7998,"3"
24794,"8"
26688,"4"
23975,"3"
12182,"6"
13951,"3"
14536,"4"
22451,"4"
28105,"3"
25077,"4"
22443,"3"
6082,"6"
13952,"3"
16189,"3"
3661,"8"
1412,"3"
21684,"5"
24149,"8"
887,"3"
19631,"5"
13373,"5"
18968,"3"
19184,"3"
12776,"3"
18161,"3"
15018,"8"
24295,"4"
25678,"3"
19653,"3"
25242,"4"
7977,"3"
19936,"3"
28213,"6"
16953,"3"
15726,"3"
7190,"3"
27533,"4"
632,"8"
15179,"5"
8113,"3"
1279,"5"
27242,"3"
22486,"3"
21079,"8"
18481,"8"
14010,"5"
11778,"3"
2916,"6"
9181,"4"
19435,"3"
16687,"3"
5247,"3"
20594,"5"
19926,"3"
22593,"3"
31,"5"
8937,"4"
11465,"4"
5503,"3"
10697,"7"
18625,"3"
22662,"3"
5189,"3"
17822,"4"
65,"3"
23250,"3"
15561,"3"
12938,"4"
9519,"3"
5483,"3"
23790,"8"
15601,"3"
11421,"3"
26941,"4"
19549,"5"
19906,"3"
28948,"6"
19934,"3"
9589,"3"
17537,"3"
21675,"4"
16467,"3"
8328,"5"
14762,"4"
21655,"6"
29162,"12"
11402,"3"
23255,"3"
19904,"3"
25920,"7"
28992,"3"
12589,"3"
3898,"3"
18251,"4"
332,"3"
27578,"3"
25967,"3"
3515,"3"
14418,"3"
19404,"4"
12422,"6"
11962,"8"
11966,"3"
19894,"8"
28034,"4"
12238,"3"
19843,"3"
25157,"7"
18658,"7"
